model,feature_set,target_transform,fold,k
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,1,4.267493232373312e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,2,4.282069376328464e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,3,4.262504747981693e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,4,4.281128384969184e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,5,4.27633591282089e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,6,4.2678785580780825e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,7,4.273178462855985e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,8,4.264286522028098e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,9,4.25861596552293e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,10,4.3087613289294705e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,11,4.266773462092841e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,12,4.2680136338888384e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,13,4.2870251935976233e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,14,4.28935528869973e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,15,4.2600382908555896e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,16,4.2638161596564104e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,17,4.28611904499221e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,18,4.2764770843974954e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,19,4.2739654109364114e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,20,4.2690670596007964e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,21,4.264642844737525e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,22,4.304095766880985e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,23,4.273089247378277e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,24,4.258232388090958e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,25,4.274719626519189e-11
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,26,4.2670607683231936e-11
