model,feature_set,target_transform,mean_mape,median_mape,std_mape,q25_mape,q75_mape,mean_competition_score,mean_mae,mean_rmse,mean_r2
Physics_k_times_fatigue_power_5,SINGLE_fatigue_power_5,direct,0.02641444519855074,0.02646699432575665,0.00671710130366678,0.021746683372709956,0.03067144934391694,0.9735855548014493,0.004406504466359628,0.006920437468205096,0.9990932531981975
LinearRegression_fatigue_power_5,SINGLE_fatigue_power_5,direct,0.02756852137003793,0.027592462616973946,0.006436152623327063,0.022449372721155773,0.03171311627387683,0.9724314786299623,0.004497207925846037,0.007001695469321703,0.9990683070321821
PowerLaw_fatigue_power_5,SINGLE_fatigue_power_5,log_log,0.028354772947508183,0.028127569729228225,0.006095257015551726,0.023746768510005123,0.03283539611769028,0.9716452270524918,0.004512954310878855,0.0068680620744660794,0.9991046204764928
ElasticNet,ALL,direct,0.03505225775383193,0.03460674089966073,0.00983927455733297,0.027617032284638732,0.04255819909026885,0.9649477422461679,0.005067620390416045,0.007501038829673176,0.9988659093686375
ElasticNet,FATIGUE,direct,0.036294369334143865,0.03624027985786045,0.007442400800511567,0.030528281920826794,0.04154050869264982,0.9637056306658561,0.005655484245097111,0.008120405068022364,0.9987158477140915
Ridge,FATIGUE,direct,0.06143171457121563,0.059370724730512,0.021982057504124897,0.04654309400668705,0.07317243894633042,0.9385682854287843,0.006495301950834889,0.008973542110585592,0.9981925473948305
Ridge,ALL,direct,0.0909603130047291,0.0801788608357144,0.03439476468745142,0.06548783053809798,0.11005360084295807,0.9090396869952708,0.007879790291169406,0.010693407739908244,0.996726813493924
PLSRegression_5_components,FATIGUE,direct,0.09217632237945049,0.08774515929025972,0.033439063312454845,0.06816753419829501,0.10762613066652206,0.9078236776205495,0.0077079804938537085,0.010096755165183829,0.9972871046043822
PLSRegression_3_components,FATIGUE,direct,0.10333450443766219,0.1009144936843191,0.030858833104301278,0.08378818975433994,0.1238854703366666,0.8966654955623379,0.012845165635649547,0.01856078986551986,0.9931942088651692
ExtraTreesRegressor,FATIGUE,direct,0.126516861576712,0.12210291190601669,0.03753533665881853,0.09818786395647294,0.14798877767197657,0.8734831384232881,0.020043634894713037,0.03336081313119116,0.9801948165380336
ExtraTreesRegressor,ALL,direct,0.12729778312967407,0.12131297237305244,0.037226395920354885,0.10016197907055328,0.15035244381417853,0.872702216870326,0.020711660191316622,0.0341014195306587,0.979583978867297
PLSRegression_5_components,ALL,direct,0.13452364185558724,0.1305281497655779,0.0468094085381101,0.09872041208612176,0.1673484531621178,0.8654763581444125,0.012321710938015333,0.01584107712246956,0.9924457438300816
RandomForestRegressor,FATIGUE,direct,0.1372036014478189,0.1403062070462966,0.037766015689038146,0.10505317802216171,0.1652241425711974,0.862796398552181,0.02796382527223651,0.047917606382120004,0.9588118265715595
RandomForestRegressor,ALL,direct,0.1392668185003458,0.14100118483106006,0.03966664976537099,0.10889590198077953,0.16694738997631112,0.8607331814996542,0.02795555249431476,0.04802809302911955,0.9581115718955633
ElasticNet,ALL,log,0.14100309900175864,0.13782413294510443,0.04009801943108637,0.11511280639674942,0.15712106494012973,0.8589969009982414,0.03154422902305086,0.05512640513116596,0.9425199313036701
Ridge,ALL,log,0.14848277811562682,0.14385959283479918,0.03824762339817144,0.12234894157262861,0.16335979063483383,0.8515172218843733,0.031380666259605935,0.051767681490873796,0.9493263829363812
GradientBoostingRegressor,ALL,direct,0.16812602433318627,0.1662956580918008,0.05446737838255437,0.12550935019537743,0.20721403304906053,0.8318739756668135,0.018841826389539552,0.0291636916572088,0.9843949280996972
GradientBoostingRegressor,FATIGUE,direct,0.16873541623510385,0.16410553420172913,0.05367216303858165,0.1288281629399483,0.20108605371741467,0.8312645837648961,0.019336252108914143,0.029636122193431796,0.9842905066334542
ElasticNet,FATIGUE,log,0.19903375059525757,0.1945834537739845,0.033804539330690414,0.17658227683445096,0.22534183124665186,0.8009662494047423,0.04876635482380861,0.08445902076024833,0.8729778741987534
Ridge,FATIGUE,log,0.20456375452692452,0.20001179752414527,0.03347308448987382,0.18132847737374932,0.22555496158551408,0.7954362454730755,0.048899004161591736,0.08332496610433063,0.875460924873712
ElasticNet,BASIC,log,0.20490950149845724,0.19609789629700464,0.05583905060348068,0.16470958067879823,0.24967734265255082,0.7950904985015428,0.04372512991641366,0.08344113149936178,0.8661608782202411
Ridge,BASIC,log,0.20845648147179155,0.20297948218675715,0.055082721179301054,0.16994003162872506,0.2508946311876971,0.7915435185282085,0.04547075309760293,0.08661307144360927,0.8569568447416429
PLSRegression_3_components,ALL,direct,0.242773603163582,0.22815285549533043,0.10245232162387916,0.16802327981182807,0.30516129739562897,0.7572263968364179,0.020563224365208032,0.02598288778957712,0.9770385729391878
