feature,pearson_correlation,absolute_pearson_correlation,spearman_correlation,absolute_spearman_correlation
peak_to_peak,0.9167939702574627,0.9167939702574627,0.9624542124542124,0.9624542124542124
maximum_absolute_value,0.871298898344107,0.871298898344107,0.9204212454212453,0.9204212454212453
variance,0.731609458351539,0.731609458351539,0.8015109890109888,0.8015109890109888
standard_deviation,0.700775893168227,0.700775893168227,0.8015109890109888,0.8015109890109888
minimum,-0.8441479500413466,0.8441479500413466,-0.7996336996336996,0.7996336996336996
mean_absolute_value,0.6896505322445796,0.6896505322445796,0.7826007326007325,0.7826007326007325
rms,0.6966311460380802,0.6966311460380802,0.778021978021978,0.778021978021978
maximum,0.5828309290905385,0.5828309290905385,0.7652014652014651,0.7652014652014651
kurtosis,-0.25134714580972844,0.25134714580972844,-0.4020604395604395,0.4020604395604395
mean,-0.21923250432558258,0.21923250432558258,-0.1318223443223443,0.1318223443223443
median,-0.18298225292863152,0.18298225292863152,-0.118522418991499,0.118522418991499
skewness,0.020060845023481082,0.020060845023481082,-0.07902930402930403,0.07902930402930403
